,MSE,MSE endtime
20230424111301235054.model,0.21053760503769076,0.8085296897526945
20230424111537281648.model,0.13383542834860992,0.4182298879055397
20230424114209411093.model,0.0620441174151943,0.18268962560129434
20230425115639699410.model,0.20941296665114523,0.7814094477571939
20230425121808739270.model,0.04771985823355619,0.11883020181981843
20230425114208738306.model,3.297768792368608e-05,0.0002645710240446817
20230425114728050315.model,4.4576766836737096e-05,0.0003457515204521417
20230425115350610218.model,0.13357166388968839,0.4525156407319742
20230425120510816099.model,0.11656597568018465,0.2951574736021803
20230425124509358174.model,0.04641167296263813,0.11886079927092315
20230424112224175944.model,0.10914512578984377,0.3294441963729648
20230424112239999835.model,0.09763288877096946,0.30209769346101056
20230425122937585884.model,0.05346507657791853,0.14183061757068866
20230424112303167177.model,3.877381768772218e-05,0.0002907524470870777
20230424112308418341.model,0.15024857210386108,0.38850791933386863
20230424112342780982.model,2.955068370792049e-05,0.00023973453864137493
20230424112350607976.model,3.102494754900334e-05,0.00028344085867992673
20230425122801716197.model,0.0798431462223407,0.2452959697400127
20230424112454280261.model,2.76689814579546e-05,0.0002360124995873692
20230425115549594079.model,4.694458624979035e-05,0.000427010028079036
20230425123632801466.model,0.0683166183299752,0.19896578054703506
20230424112637490086.model,3.5850346298773054e-05,0.00028689892927607694
20230424113316370907.model,0.05041608483025668,0.136987567014242
20230425114917680276.model,0.11253286175782957,0.3903426569775966
20230425121629249675.model,0.08171602035588704,0.24677179415087816
20230425123331763562.model,2.3131848546475005,3.998710768335213
20230424113527512567.model,0.04927378595953533,0.11542522561722166
20230424114119766087.model,0.0826013863493527,0.16818535367522472
20230424114755225689.model,0.0684648211588692,0.14699472130899316
20230424114821317925.model,0.06386155678131174,0.5081692366929655
20230424114821974687.model,0.258380143195673,0.6633664761094137
20230425123615470769.model,0.05843233284395409,0.1857844651326966
20230425114422271189.model,3.450296738341707e-05,0.0002872914553567685
20230425115349870083.model,0.11510517435440513,0.3753010362289571
20230425120124833918.model,0.06656849553870801,0.14882814658623883
20230424111433018461.model,0.08634217754612689,0.27836254576619823
20230424113808103800.model,0.058639247654478685,0.18617070492171892
20230424113831219470.model,0.06912190009233056,0.20632617072249843
20230425114208452446.model,2.7666405185264514e-05,0.00024486097210459665
20230425114535936009.model,0.11937670208242944,0.3751763700885332
