,MSE,MSE endtime
20230419181502700747.model,0.0002280048469583698,0.0003748012100951278
20230419183908464731.model,0.003922534125025192,0.009369735347134136
20230419185651033917.model,0.00021874747732036535,0.0004487332834191493
20230419190930390211.model,0.00027968396226244586,0.0005108130557102865
20230419183030282509.model,0.0021310333682142786,0.003363731128032591
20230419184124396482.model,0.0025645317196491936,0.005089761905723779
20230419184747845217.model,0.000911991046348711,0.0010783325794528442
20230419182304631205.model,0.005739197024112025,0.014739889705197748
20230419182924687739.model,0.0017338255796153466,0.00231993135924473
20230419191527019180.model,0.0002729148729420783,0.00045511157838480166
20230419181449159392.model,0.00017547145003739842,0.0002661627745727739
20230419182545587432.model,0.0021805979809714944,0.003007680943015916
20230419192934214655.model,0.00030367135695660234,0.0005178198670030163
20230419181404860091.model,0.00018937899737978526,0.00031305931856028473
20230419181704717398.model,0.00022783918491728938,0.00039617227928646513
20230419184436352641.model,0.0012500936183365533,0.0025614213404603716
